
WARNING | Fri Jun  7 05:05:34 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun  8 01:52:28 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon Jun 10 06:05:37 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Mon Jun 10 06:11:09 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jun 12 07:13:23 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jun 12 07:13:30 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Wed Jun 12 07:47:25 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jun 12 09:22:11 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Wed Jun 12 11:42:29 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jun 14 02:09:11 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jun 21 16:32:40 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Fri Jun 21 16:32:40 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
WARNING | Fri Jun 21 16:34:06 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query failed! error:: MySQL server has gone away! | dataManage.hpp:70
WARNING | Fri Jun 21 16:34:06 2024 | July | selectAllVideo():: mysqlQuery(SELECT * FROM tb_video;) failed! | dataManage.hpp:165
NOTICE | Fri Jun 21 16:40:35 2024 | July | mysqlInit():: get mysql handler success! | dataManage.hpp:25
NOTICE | Fri Jun 21 16:40:35 2024 | July | mysqlInit():: connect mysql server success! | dataManage.hpp:34
NOTICE | Fri Jun 21 16:40:35 2024 | July | mysqlInit():: mysql client set character success! | dataManage.hpp:42
WARNING | Fri Jun 21 16:41:07 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jun 21 16:43:12 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Fri Jun 21 16:48:31 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jun 21 16:50:08 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Fri Jun 21 18:47:01 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jun 21 20:19:27 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jun 21 20:19:27 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Fri Jun 21 20:28:51 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Fri Jun 21 20:28:51 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jun 22 00:40:32 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 22 10:01:33 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 22 10:44:51 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jun 22 14:29:29 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jun 22 14:30:32 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jun 26 11:23:02 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Wed Jun 26 22:03:18 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 10:45:19 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video;) query success! | dataManage.hpp:73
WARNING | Sat Jun 29 10:45:22 2024 | July | mysqlQuery():: sql(SELECT * FROM tb_video WHERE v_id=1;) query success! | dataManage.hpp:73
